"","STATUS","POLICE_ZONE","COUNCIL_DISTRICT","NEIGHBORHOOD","GEO_ACCURACY","REQUEST_ORIGIN","TRACT","X_full_text","REQUEST_TYPE","PLI_DIVISION","Y","CREATED_ON","PUBLIC_WORKS_DIVISION","REQUEST_ID","DEPARTMENT","X","WARD","X_id","FIRE_ZONE","date"
"19","Open","1","1","Marshall-Shadeland","EXACT","Call Center","42003271500","'+00':14 '-09':9 '-14':10,20 '-80.03329':6 '0':18 '00':13,15 '1':17,19 '2018':8 '27':1 '288641':7 '32':12 '40.4680926':16 '42003271500':27 'call':22 'center':23 'dpw':24 'exact':5 'mainten':26 'marshal':3 'marshall-shadeland':2 'pothol':21 'shadeland':4 'street':25 't17':11","Potholes","27",40.4680926,"2018-09-14T17:32:00","1","288641","DPW - Street Maintenance",-80.03329,"27",275632,"1-14",2018-09-14
"20","Open","4","5","Greenfield","EXACT","Report2Gov iOS","42003151700","'+00':24 '-09':19 '-14':20 '-15':10 '-79.927177':16 '00':23,25 '09':22 '15':5 '2':9 '2018':18 '288650':8 '3':11 '4':13 '40.426678':7 '42003151700':15 '5':12 'domi':3 'exact':17 'greenfield':6 'io':2 'pothol':14 'report2gov':1 'street':4 't21':21","Potholes","15",40.426678,"2018-09-14T21:09:00","3","288650","DOMI - Streets",-79.927177,"15",275641,"2-15",2018-09-14
"21","Open","6","4","Beechview","EXACT","Website","42003191600","'+00':10 '-09':5 '-15':6 '-28':26 '-80.0138196':3 '0':14 '00':9,11 '01':8 '19':12 '2018':4 '288666':15 '4':17,25 '40.4125094':24 '42003191600':2 '5':16 '6':19 'beechview':13 'dpw':20 'exact':23 'mainten':22 'pothol':18 'street':21 't11':7 'websit':1","Potholes","19",40.4125094,"2018-09-15T11:01:00","5","288666","DPW - Street Maintenance",-80.0138196,"19",275657,"4-28",2018-09-15
"22","Open","3","4","Carrick","EXACT","Website","42003290400","'+00':10 '-09':5 '-15':19 '-16':6 '-79.9790975':13 '0':14 '00':9,11 '2018':4 '288731':3 '29':12 '3':15 '31':8 '4':16,18 '40.3919867':24 '42003290400':20 'carrick':2 'dpw':21 'exact':25 'mainten':23 'pothol':17 'street':22 't17':7 'websit':1","Potholes","29",40.3919867,"2018-09-16T17:31:00","3","288731","DPW - Street Maintenance",-79.9790975,"29",275722,"4-15",2018-09-16
"23","Open","1","6","Central Northside","EXACT","Website","42003250300","'+00':8 '-09':3 '-16':4 '-21':18 '-80.015125746':13 '0':20 '00':7,9 '1':17,19 '2018':2 '25':12 '288734':10 '40.4587860919':11 '41':6 '42003250300':16 '6':22 'central':14 'dpw':23 'exact':26 'mainten':25 'northsid':15 'pothol':21 'street':24 't18':5 'websit':1","Potholes","25",40.4587860919486,"2018-09-16T18:41:00","1","288734","DPW - Street Maintenance",-80.0151257460327,"25",275725,"1-21",2018-09-16
"24","Open","3","3","South Side Flats","EXACT","Report2Gov iOS","42003170200","'+00':24 '-09':19 '-15':20 '-24':12 '-79.984283':8 '00':23,25 '17':6 '2018':18 '288673':9 '3':10 '4':11 '40.426716':7 '42003170200':1 '50':22 'domi':4 'exact':17 'flat':15 'io':3 'pothol':16 'report2gov':2 'side':14 'south':13 'street':5 't13':21","Potholes","17",40.426716,"2018-09-15T13:50:00","3","288673","DOMI - Streets",-79.984283,"17",275664,"4-24",2018-09-15
"25","Open","4","5","Squirrel Hill South","EXACT","Call Center","42003140800","'+00':16 '-09':11 '-14':12 '-21':27 '-79.9135304':28 '00':15,17 '14':5 '2':26 '2018':10 '288382':7 '3':8 '38':14 '4':18 '40.4346422':9 '42003140800':6 '5':22 'call':20 'center':21 'dpw':23 'exact':4 'hill':2 'mainten':25 'pothol':19 'south':3 'squirrel':1 'street':24 't08':13","Potholes","14",40.4346422,"2018-09-14T08:38:00","3","288382","DPW - Street Maintenance",-79.9135304,"14",275370,"2-21",2018-09-14
"26","Open","2","6","Upper Hill","EXACT","Call Center","42003050600","'+00':20 '-09':15 '-14':16 '-23':27 '-79.9542147777':6 '00':19,21 '17':18 '2':8,26 '2018':14 '288374':13 '3':7 '40.4531582223':5 '42003050600':4 '5':9 '6':10 'call':11 'center':12 'dpw':23 'exact':22 'hill':3 'mainten':25 'overgrowth':1 'street':24 't08':17 'upper':2","Overgrowth","5",40.4531582223055,"2018-09-14T08:17:00","3","288374","DPW - Street Maintenance",-79.95421477771,"5",275362,"2-23",2018-09-14
"27","Open","4","5","Squirrel Hill South","EXACT","Call Center","42003141400","'+00':12 '-09':7 '-14':8 '-20':28 '-79.915619':20 '00':11,13 '08':10 '14':5 '2':27 '2018':6 '288404':16 '3':17 '4':19 '40.4237592':14 '42003141400':15 '5':18 'call':21 'center':22 'dpw':23 'exact':26 'hill':3 'mainten':25 'overgrowth':1 'south':4 'squirrel':2 'street':24 't09':9","Overgrowth","14",40.4237592,"2018-09-14T09:08:00","3","288404","DPW - Street Maintenance",-79.915619,"14",275392,"2-20",2018-09-14
"28","Open","4","5","Greenfield","EXACT","Call Center","42003151600","'+00':25 '-09':20 '-12':4 '-14':21 '-79.948402':5 '00':24,26 '13':23 '15':1 '2':3 '2018':19 '288514':13 '3':7 '4':9 '40.4259573':14 '42003151600':6 '5':8 'call':11 'center':12 'dpw':16 'exact':15 'greenfield':2 'mainten':18 'pothol':10 'street':17 't12':22","Potholes","15",40.4259573,"2018-09-14T12:13:00","3","288514","DPW - Street Maintenance",-79.948402,"15",275504,"2-12",2018-09-14
"29","Open","4","5","Swisshelm Park","EXACT","Website","42003141100","'+00':25 '-09':20 '-14':21 '-19':8 '-79.9030889':6 '00':24,26 '14':5 '2':7 '2018':19 '288499':4 '3':10 '34':23 '4':12 '40.4194379':9 '42003141100':14 '5':11 'dpw':15 'exact':18 'mainten':17 'park':3 'pothol':13 'street':16 'swisshelm':2 't11':22 'websit':1","Potholes","14",40.4194379,"2018-09-14T11:34:00","3","288499","DPW - Street Maintenance",-79.9030889,"14",275489,"2-19",2018-09-14
"30","Open","2","7","Central Lawrenceville","EXACT","Call Center","42003090200","'+00':12 '-09':7 '-14':8 '-3':15 '-79.9574943':20 '00':11,13 '2':19 '2018':6 '288639':5 '3':14,18 '31':10 '40.4703308':16 '42003090200':1 '7':4 '9':17 'call':22 'center':23 'central':2 'dpw':24 'exact':27 'lawrencevill':3 'mainten':26 'pothol':21 'street':25 't17':9","Potholes","9",40.4703308,"2018-09-14T17:31:00","2","288639","DPW - Street Maintenance",-79.9574943,"9",275630,"3-3",2018-09-14
